,rating,genre,year,score,votes,budget,gross,runtime,month,continent
167,PG,Action,1980,5.1,3100.0,15000000.0,14662035.0,94.0,May,North_America
168,R,Comedy,2011,6.8,428000.0,35000000.0,209838559.0,98.0,July,North_America
169,PG_13,Biography,2016,7.2,134000.0,25000000.0,24121245.0,115.0,January,North_America
170,R,Mystery,1997,7.6,134000.0,15000000.0,3703548.0,134.0,January,Europe
171,PG_13,Action,2004,7.3,559000.0,200000000.0,788976453.0,127.0,June,North_America
172,PG,Adventure,2002,7.4,572000.0,100000000.0,879602366.0,161.0,November,Europe
173,R,Action,2005,5.2,110000.0,60000000.0,58072119.0,105.0,October,Europe
174,R,Adventure,2007,8.1,588000.0,15000000.0,56675895.0,148.0,October,North_America
175,PG_13,Action,2016,5.9,128000.0,150000000.0,334933831.0,103.0,February,North_America
176,PG,Comedy,1990,7.6,501000.0,18000000.0,476684675.0,103.0,November,North_America
177,PG_13,Adventure,2010,7.3,112000.0,30000000.0,24172201.0,133.0,January,North_America
178,PG,Comedy,1980,5.4,2400.0,6000000.0,6216067.0,103.0,July,North_America
179,PG,Adventure,2012,5.6,85000.0,85000000.0,183018522.0,106.0,March,North_America
180,PG_13,Biography,1995,5.7,2800.0,14000000.0,2473668.0,139.0,March,North_America
181,PG,Action,1984,5.9,77000.0,18000000.0,31042035.0,103.0,June,North_America
182,PG,Animation,2015,6.6,95000.0,135000000.0,386041607.0,94.0,March,North_America
183,R,Comedy,1990,7.1,20000.0,23000.0,1228108.0,97.0,July,North_America
184,PG,Animation,2016,7.1,140000.0,75000000.0,634208384.0,108.0,December,North_America
185,PG,Biography,2011,7.0,47000.0,18000000.0,47120948.0,112.0,April,North_America
186,PG_13,Biography,2015,7.1,89000.0,35000000.0,48623572.0,123.0,December,Europe
187,R,Comedy,2004,7.5,183000.0,16000000.0,109706931.0,127.0,October,North_America
188,R,Drama,1996,6.6,27000.0,10000000.0,4762310.0,118.0,June,Europe
189,R,Drama,2001,7.4,63000.0,4500000.0,6582065.0,106.0,April,Europe
190,PG,Comedy,1987,4.8,9600.0,17000000.0,7305209.0,92.0,August,North_America
191,PG,Comedy,1992,5.9,4100.0,18000000.0,8669847.0,94.0,March,North_America
